model,scenario,region,variable,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
REMIND 2.1,CEMICS_NPI,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,,,,,,3773.0367,,,,,4037.5133,,,,,3990.6167,,,,,3853.41,5670.94,5560.5733,4727.58,3762.8433,3244.7067,3335.7867,3874.6033,4315.74,3943.83,2697.1633,1380.5,641.41
REMIND 2.1,CEMICS_opt_1p5,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,,,,,,30505.4542,,,,,33285.0803,,,,,34835.0221,,,,,35221.1041,29847.7194,23542.5912,16308.5901,10055.689,5254.1816,1536.9844,120.9261,99.5742,104.8409,177.0126,335.7002,287.7378
REMIND 2.1,CEMICS_opt_1p5,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,,,,,,3773.0367,,,,,4037.5133,,,,,3990.6167,,,,,3853.41,1096.5533,143.0733,-198.99,-151.47,-79.1267,-72.8567,-72.8933,-63.03,-99.22,-197.5967,-278.41,-266.3467
REMIND 2.1,CEMICS_opt_2C,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,,,,,,30505.4542,,,,,33285.0803,,,,,34835.0221,,,,,35221.1041,34641.5603,33037.3456,27869.6658,22224.7679,17289.6139,12844.5466,8991.7418,5463.1134,852.8226,198.5538,284.1629,274.7384
REMIND 2.1,CEMICS_opt_2C,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,,,,,,3773.0367,,,,,4037.5133,,,,,3990.6167,,,,,3853.41,1096.5533,143.0733,-198.99,-151.47,-79.1267,-72.8567,-72.8933,-63.03,-99.22,-197.5967,-278.41,-266.3467
REMIND 2.1,LeastTotalCost_Base_brkLR15_SSP2_P50,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,,,,,,30505.4542,,,,,33272.8779,,,,,35008.8811,,,,,36613.5056,39433.4949,43407.1534,46371.3165,47848.7962,49444.9523,50847.8832,52269.6214,53150.2959,52749.9952,50192.9755,45310.2278,40388.1859
REMIND 2.1,LeastTotalCost_Base_brkLR15_SSP2_P50,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,,,,,,3773.0367,,,,,4037.5133,,,,,3999.3433,,,,,3870.57,4434.76,4529.14,4432.5967,4243.5067,4166.5067,4227.2267,4328.1333,4288.7167,3717.8167,2500.4467,1221.77,450.4133
REMIND 2.1,LeastTotalCost_Base_brkSR15_SSP2_P50,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,,,,,,30505.4542,,,,,33302.9347,,,,,35029.5926,,,,,36627.5866,39431.4675,43525.4839,46714.5963,48512.0941,50575.5138,52460.4236,54163.0558,55241.1318,55082.2138,52214.9631,46498.2601,40742.9583
REMIND 2.1,LeastTotalCost_Base_brkSR15_SSP2_P50,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,,,,,,3773.0367,,,,,4037.5133,,,,,3999.3433,,,,,3870.57,4434.76,4529.14,4432.5967,4243.5067,4166.5067,4227.2267,4328.1333,4288.7167,3717.8167,2500.4467,1221.77,450.4133
REMIND 2.1,LeastTotalCost_CBA_brkLR15_SSP2_P50,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,,,,,,30505.4542,,,,,33284.1616,,,,,34823.9137,,,,,35198.894,29916.8338,25182.4265,20128.1292,16348.1135,13513.2526,10408.5949,7521.7497,5120.7484,1902.998,-24.6246,-1642.3384,-3923.7549
REMIND 2.1,LeastTotalCost_CBA_brkLR15_SSP2_P50,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,,,,,,3773.0367,,,,,4037.5133,,,,,3990.6167,,,,,3853.41,1096.5533,143.0733,-198.99,-151.47,-79.1267,-72.8567,-72.8933,-63.03,-99.22,-197.5967,-278.41,-266.3467
REMIND 2.1,LeastTotalCost_CBA_brkSR15_SSP2_P50,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,,,,,,30505.4542,,,,,33284.1616,,,,,34823.9137,,,,,35198.894,33474.8705,31569.2413,26822.8802,22056.7328,18595.1981,15937.2381,13378.7318,11008.2743,7199.2202,4354.0019,2430.1941,629.9864
REMIND 2.1,LeastTotalCost_CBA_brkSR15_SSP2_P50,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,,,,,,3773.0367,,,,,4037.5133,,,,,3990.6167,,,,,3853.41,1096.5533,143.0733,-198.99,-151.47,-79.1267,-72.8567,-72.8933,-63.03,-99.22,-197.5967,-278.41,-266.3467
REMIND 2.1,LeastTotalCost_CEA_brkLR15_SSP2_P50,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,,,,,,30505.4542,,,,,33284.1616,,,,,34823.9137,,,,,35198.894,34534.7157,32898.9529,28201.8083,22343.3056,17464.81,12932.3789,8834.8149,5405.3365,1067.0249,137.6344,272.652,317.1706
REMIND 2.1,LeastTotalCost_CEA_brkLR15_SSP2_P50,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,,,,,,3773.0367,,,,,4037.5133,,,,,3990.6167,,,,,3853.41,1096.5533,143.0733,-198.99,-151.47,-79.1267,-72.8567,-72.8933,-63.03,-99.22,-197.5967,-278.41,-266.3467
REMIND 2.1,LeastTotalCost_CEA_brkSR15_SSP2_P50,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,,,,,,30505.4542,,,,,33284.1616,,,,,34823.9137,,,,,35198.894,34484.0764,32864.6867,28251.1653,22500.4056,17688.0405,13042.8991,8939.7886,5366.8032,963.5337,218.9599,377.6137,429.6209
